exp,fold,seed,n_train,n_test,rmse,pearson,spearman,acc3,f1_macro3,params,train_minutes,git_sha,mae,per_complex_spearman,n_complexes_counted,dataset,note
E0c_rf_pooled_esm_mpnn,4,2,752,188,1.6330912883694337,0.3271333740165829,0.3014961479972129,0.3670212765957447,0.19910832859040029,131738,0.097,cbbc56a,1.1393822869932755,0.32433123717373175,11,skempi_abag,pooled_esm_mpnn/rf
E0e_mean,0,0,752,188,2.675760370949487,,,0.3723404255319149,0.1808785529715762,0,0.0,a7a4411,1.9139607445277858,,9,skempi_abag,handcrafted/mean
E0e_mean,1,0,752,188,1.5800601808200583,,,0.526595744680851,0.22996515679442509,0,0.0,a7a4411,1.3019393408757498,,11,skempi_abag,handcrafted/mean
E0e_mean,2,0,752,188,1.424308882974196,,,0.4734042553191489,0.21419975932611313,0,0.0,a7a4411,1.1155499127426407,,11,skempi_abag,handcrafted/mean
E0e_mean,3,0,752,188,1.4114941407177035,,,0.324468085106383,0.16331994645247658,0,0.0,a7a4411,1.1305241918929514,,11,skempi_abag,handcrafted/mean
E0e_mean,4,0,752,188,1.74956124623845,,,0.3670212765957447,0.17898832684824903,0,0.0,a7a4411,1.2767845041352266,,11,skempi_abag,handcrafted/mean
E0a_rf_handcrafted__cluster,0,0,672,268,2.159821611805998,0.5523797813970142,0.5766563640258772,0.43656716417910446,0.39057370929231,125152,0.02,c2e7b01,1.5454503036412588,0.3142734913009923,14,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,1,0,718,222,1.605706185407761,-0.028094967378711675,-0.04404241795179081,0.35585585585585583,0.2567090395480226,125152,0.02,c2e7b01,1.2263278646353573,0.005081699089860647,6,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,2,0,713,227,1.2783777163730055,0.49661169732329846,0.5168600823365126,0.4801762114537445,0.4426431276197312,125152,0.02,c2e7b01,0.9223541576070883,0.29514968502168715,10,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,3,0,717,223,1.4518138644862568,0.36449407958891084,0.35056247499647747,0.5067264573991032,0.4426536468371236,125152,0.02,c2e7b01,0.9846807905499555,0.31947167175131846,23,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,0,1,672,268,2.1432993940009473,0.5684825284340989,0.5925422220029593,0.44776119402985076,0.40581989935695767,124938,0.016,c2e7b01,1.5290534221340053,0.2765901129872011,14,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,1,1,718,222,1.6034789344254063,-0.05555601086397601,-0.054897305835242584,0.38288288288288286,0.27994227994227994,124938,0.016,c2e7b01,1.2270663309557108,-0.0034424585000000897,6,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,2,1,713,227,1.2863589266477615,0.4902084668445048,0.5092051871507969,0.4889867841409692,0.44894752942127103,124938,0.016,c2e7b01,0.9305842328053674,0.33400186157088485,10,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,3,1,717,223,1.4640580236796064,0.3502661056573224,0.33877001897593734,0.5336322869955157,0.4960426550362869,124938,0.016,c2e7b01,0.9914443743299363,0.29866940605900605,23,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,0,2,672,268,2.1552415372636684,0.5636839632102012,0.5848132843709174,0.4552238805970149,0.41488757282488326,125024,0.017,c2e7b01,1.539581829702115,0.13800317106416743,14,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,1,2,718,222,1.6165039403284485,-0.0652243588479749,-0.07338683478212112,0.34684684684684686,0.2482905982905983,125024,0.017,c2e7b01,1.2394921703692505,-0.009218406946459834,6,skempi_abag,handcrafted/rf/cluster
E0a_rf_handcrafted__cluster,2,2,713,227,1.2811729952582787,0.4925428003584187,0.5176808175973276,0.4845814977973568,0.4465637325855683,125024,0.017,c2e7b01,0.9208014726764938,0.3429881998963839,10,skempi_abag,handcrafted/rf/cluster
